image_path,class_name,label,split,f1_R_mean,f1_G_mean,f1_B_mean,f1_R_std,f1_G_std,f1_B_std,f1_H_mean,f1_S_mean,f1_V_mean,f1_H_std,f1_S_std,f1_V_std,f2_VARI_mean,f2_VARI_std,f2_VARI_p10,f2_VARI_p90,f2_R_norm,f2_G_norm,f2_B_norm,f3_GLCM_contrast,f3_GLCM_homogeneity,f3_GLCM_energy,f3_GLCM_correlation,f3_LBP_bin_0,f3_LBP_bin_1,f3_LBP_bin_2,f3_LBP_bin_3,f3_LBP_bin_4,f3_LBP_bin_5,f3_LBP_bin_6,f3_LBP_bin_7,f3_LBP_bin_8,f3_LBP_bin_9,f3_LBP_bin_10,f3_LBP_bin_11,f3_LBP_bin_12,f3_LBP_bin_13,f3_LBP_bin_14,f3_LBP_bin_15,f3_LBP_bin_16,f3_LBP_bin_17,f3_LBP_bin_18,f3_LBP_bin_19,f3_LBP_bin_20,f3_LBP_bin_21,f3_LBP_bin_22,f3_LBP_bin_23,f3_LBP_bin_24,f3_LBP_bin_25,f3_LBP_bin_26,f3_LBP_bin_27,f3_LBP_bin_28,f3_LBP_bin_29,f3_LBP_bin_30,f3_LBP_bin_31,f3_LBP_bin_32,f3_LBP_bin_33,f3_LBP_bin_34,f3_LBP_bin_35,f3_LBP_bin_36,f3_LBP_bin_37,f3_LBP_bin_38,f3_LBP_bin_39,f3_LBP_bin_40,f3_LBP_bin_41,f3_LBP_bin_42,f3_LBP_bin_43,f3_LBP_bin_44,f3_LBP_bin_45,f3_LBP_bin_46,f3_LBP_bin_47,f3_LBP_bin_48,f3_LBP_bin_49,f3_LBP_bin_50,f3_LBP_bin_51,f3_LBP_bin_52,f3_LBP_bin_53,f3_LBP_bin_54,f3_LBP_bin_55,f3_LBP_bin_56,f3_LBP_bin_57,f3_LBP_bin_58
data/raw\Healthy\healthy_00001.jpg,Healthy,0,train,177.96717182890856,182.1091417772861,167.33042680678466,52.387653980366174,42.86491153164313,70.46769433163391,0.2503369146203751,0.1582891377592964,0.7172091973260633,0.231951961405061,0.3209863756189919,0.1683782977414708,0.0316859930753707,0.0831708684563636,-0.0103092780336737,0.1642857193946838,0.3421105742454529,0.370857298374176,0.2870320975780487,0.1131766192652227,0.9493075729992326,0.4522527857796175,0.994031300053895,0.0305023967551622,0.0722262168141592,0.0241703539823008,0.1014924410029498,0.0862951696165191,0.1558287241887905,0.0789288348082595,0.0996948746312684,0.2220058997050147,0.1288550884955752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00002.jpg,Healthy,0,test,189.5919395280236,191.61909845132743,179.88196810471976,28.70996921839663,24.322532797691323,47.34371156134867,0.2423115442426871,0.0874805367895333,0.7541368211063643,0.214621180003165,0.1830380929300405,0.095200876017852,0.0102788191288709,0.0293802432715892,-0.0102564105764031,0.064935065805912,0.3405959606170654,0.3470351994037628,0.3123687505722046,0.0803661744811042,0.9626783458076872,0.5459938612679653,0.9875529651194492,0.0192348820058997,0.0517606932153392,0.0145058997050147,0.1046764380530973,0.0603567477876106,0.1783296460176991,0.060271017699115,0.0998257743362831,0.3173110250737463,0.0937278761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00003.jpg,Healthy,0,train,197.20308812684365,200.9278613569321,186.1256664823009,43.80034795384191,35.28658244618919,65.80848922873544,0.2151892002586384,0.1230059287739618,0.7897985207451594,0.1863327336579729,0.2778564222143844,0.138491060642527,0.0209101345390081,0.0549283735454082,-0.0048309178091585,0.1315789520740509,0.3423092067241668,0.3593819141387939,0.298308789730072,0.0887109073302833,0.9592346877927872,0.5926976586782761,0.9933492463832873,0.0182826327433628,0.0512555309734513,0.0124898598820059,0.1024096607669616,0.0668141592920354,0.1766463864306784,0.0596782817109144,0.0990818584070796,0.3198091814159292,0.0935324483775811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00004.jpg,Healthy,0,train,193.91530604719765,194.7149336283186,185.687671460177,21.617682630276203,19.003878419447737,37.72463081112656,0.1668987743622384,0.0610215743333626,0.7655999479547179,0.1946043043002111,0.1399902915346102,0.0735658409692704,0.0037058894522488,0.0192858073860406,-0.0099502485245466,0.0350877195596694,0.3392988741397857,0.3418374061584472,0.3188637197017669,0.0545257106745529,0.9756775656747548,0.6019599317208043,0.9860279400162306,0.0117496312684365,0.0365763274336283,0.0080899705014749,0.0914887536873156,0.0483582227138643,0.1823303834808259,0.0452230825958702,0.0945538348082595,0.4163219026548672,0.0653078908554572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00005.jpg,Healthy,0,test,198.2532134955752,202.15036320059,189.08874815634215,45.2584162567175,35.359031643859204,63.17517486535342,0.2195465754087537,0.1117488511851112,0.7946153009213958,0.2409553664728743,0.2618098225338221,0.1388798067717171,0.0236212965101003,0.0666477233171463,-0.0091743115335702,0.1428571492433548,0.3392520844936371,0.3585831224918365,0.3021648824214935,0.103847314521502,0.960717231129544,0.5892704078398459,0.9923844089176832,0.0236301622418879,0.0578014380530973,0.0167551622418879,0.0976078539823008,0.0634955752212389,0.1664767699115044,0.0627562684365781,0.0984218289085545,0.3088670722713864,0.1041878687315634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00006.jpg,Healthy,0,train,195.8496893436578,197.19734052359885,187.7536108038348,26.614907164334955,23.135281923086996,42.040423807564615,0.2085690516093153,0.067575097443572,0.7754906262788713,0.1801161574558201,0.1488768125310079,0.0902923716276488,0.0069977939128875,0.0243676546961069,-0.0051546390168368,0.0495867766439914,0.3391206562519073,0.3432977199554443,0.3175816535949707,0.1243814502676852,0.9454876080044012,0.5574867816111138,0.9780182632911024,0.0392468657817109,0.078100110619469,0.0244505899705014,0.0933324115044247,0.0666030604719764,0.1437960914454277,0.0776908185840708,0.104350110619469,0.2277866887905604,0.1446432522123893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00007.jpg,Healthy,0,train,151.2274354719764,153.7858923303835,147.76741058259586,37.34612183169512,29.903131040601792,44.434993178686334,0.2654407414470403,0.0901654650805805,0.605730287317286,0.2401681683833837,0.2350575655854374,0.1177107828927541,0.0306409262120723,0.1029775217175483,-0.006451612804085,0.0132450331002473,0.3326450288295746,0.3571388125419616,0.3102162480354309,0.1128022949970589,0.949067336122866,0.5582624511364466,0.987650578348788,0.0350903392330383,0.0774271755162241,0.0253014380530973,0.0988818215339233,0.0770538348082595,0.1514832227138643,0.0854083702064896,0.1032724926253687,0.2030641592920354,0.1430171460176991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00008.jpg,Healthy,0,train,154.78807983038348,155.57774428466075,147.95749539085546,23.0469824517308,21.29355278464921,37.15957153416917,0.2187294155376578,0.0768796309943817,0.6128572864211227,0.1750627634471089,0.1825202117190008,0.0808650627471102,0.0049813273362815,0.0282288063317537,-0.0064102564938366,0.0128205129876732,0.3411540687084198,0.3445703089237213,0.3142755329608917,0.1061662050909151,0.9517649849621148,0.5918769212395116,0.976655117358809,0.0284587020648967,0.0672464970501475,0.0185195427728613,0.1018030973451327,0.0656397492625368,0.165608407079646,0.0746681415929203,0.1048340707964601,0.2480577064896755,0.1251640855457227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00009.jpg,Healthy,0,test,188.3102164366374,190.53641886240067,180.99773943956504,34.12937787145309,27.87675857122191,51.97495096802433,0.2524742839030681,0.0860620023041158,0.749009564071738,0.2363633327792251,0.2326124502726937,0.1093975921937663,0.0128812827169895,0.0407755337655544,-0.0054054055362939,0.0104712042957544,0.3400260210037231,0.3503679931163788,0.3096060156822204,0.0918118285148278,0.9555451308338714,0.5913927260000643,0.9891029092186168,0.0268982643245504,0.0697448766206608,0.0231843370974487,0.1060450648264324,0.0809676913425345,0.1672506273525721,0.0864026557925554,0.0950067963195315,0.2167686114596403,0.1277310748640736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw\Healthy\healthy_00010.jpg,Healthy,0,train,202.06960006273525,206.4553183814304,190.61992314930995,51.05122441385264,39.01602254538858,73.42303581213041,0.3699113042722235,0.142474997143758,0.815568828384931,0.3313671020893436,0.2955818577873996,0.1551447216872798,0.0252851918339729,0.0707684680819511,-0.0179372206330299,0.171875,0.3417297303676605,0.3641559481620788,0.294114351272583,0.094086513864085,0.9592577666989568,0.5528775725076028,0.9945090269512716,0.0140657674613132,0.0432340025094102,0.0142388122124634,0.1073300920117105,0.0655374320368046,0.1911694897532413,0.05556043496445,0.093426913425345,0.3388346925972396,0.0766023630280217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
