image_path,class_name,label,split
data/raw\TeaRedLeafSpot\Healthy_382.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00264.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00245.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00219.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_164.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_357.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00378.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00446.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_531.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_425.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_305.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_328.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_454.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_188.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00226.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00333.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00150.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_143.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00154.jpg,Healthy,0,train
data/raw\Healthy\healthy_00532.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_238.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00809.jpg,Healthy,0,train
data/raw\Healthy\healthy_00175.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_70.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00814.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_10.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_111.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_119.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_28.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_352.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00303.jpg,Healthy,0,train
data/raw\Healthy\healthy_00173.jpg,Healthy,0,train
data/raw\Healthy\healthy_00824.jpg,Healthy,0,train
data/raw\Healthy\healthy_00883.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_512.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00310.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_280.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00334.jpg,Healthy,0,train
data/raw\Healthy\healthy_00236.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_391.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_270.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00802.jpg,Healthy,0,train
data/raw\Healthy\healthy_00003.jpg,Healthy,0,train
data/raw\Healthy\healthy_00165.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00110.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00185.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_312.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_308.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00584.jpg,Healthy,0,train
data/raw\Healthy\healthy_00755.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_271.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedLeafSpot\Healthy_452.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00250.jpg,Healthy,0,train
data/raw\Healthy\healthy_00545.jpg,Healthy,0,train
data/raw\Healthy\healthy_00612.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00503.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00381.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00105.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_245.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00537.jpg,Healthy,0,train
data/raw\Healthy\healthy_00549.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_214.jpg,TeaRedLeafSpot,2,train
data/raw\TeaLeafBlight\Healthy_484.jpg,TeaLeafBlight,1,train
data/raw\TeaRedLeafSpot\Healthy_273.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00731.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00098.jpg,TeaRedScab,3,train
data/raw\Healthy\healthy_00012.jpg,Healthy,0,train
data/raw\TeaRedLeafSpot\Healthy_329.jpg,TeaRedLeafSpot,2,train
data/raw\TeaRedScab\red_spider_00231.jpg,TeaRedScab,3,train
data/raw\TeaRedLeafSpot\Healthy_239.jpg,TeaRedLeafSpot,2,train
data/raw\Healthy\healthy_00327.jpg,Healthy,0,train
data/raw\Healthy\healthy_00360.jpg,Healthy,0,train
data/raw\TeaLeafBlight\Healthy_294.jpg,TeaLeafBlight,1,train
data/raw\Healthy\healthy_00577.jpg,Healthy,0,train
data/raw\TeaRedScab\red_spider_00474.jpg,TeaRedScab,3,train
data/raw\TeaRedScab\red_spider_00015.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_251.jpg,TeaLeafBlight,1,train
data/raw\TeaRedScab\red_spider_00477.jpg,TeaRedScab,3,train
data/raw\TeaLeafBlight\Healthy_94.jpg,TeaLeafBlight,1,train
data/raw\TeaLeafBlight\Healthy_287.jpg,TeaLeafBlight,1,train
